wave, intensity
2222.731, 62.70837
2224.660, 62.26923
2226.588, 62.06665
2228.517, 63.66325
2230.445, 63.49820
2232.374, 64.00460
2234.302, 65.13244
2236.230, 64.80774
2238.159, 66.54492
2240.087, 67.43174
2242.016, 66.87263
2243.944, 66.08234
2245.873, 65.13029
2247.801, 64.36501
2249.730, 63.73346
2251.658, 63.53467
2253.587, 64.33553
2255.515, 65.22423
2257.444, 65.18918
2259.372, 65.93825
2261.301, 65.51339
2263.229, 66.62480
2265.157, 67.17825
2267.086, 67.20906
2269.014, 66.83743
2270.943, 66.06615
2272.871, 65.49109
2274.800, 65.08101
2276.728, 63.05214
2278.657, 65.82847
2280.585, 67.42381
2282.514, 67.90170
2284.442, 63.91505
2286.371, 65.69343
2288.299, 65.16142
2290.228, 64.53471
2292.156, 67.12442
2294.084, 63.78713
2296.013, 66.32588
2297.941, 66.51900
2299.870, 67.78568
2301.798, 66.72771
2303.727, 66.38779
2305.655, 68.37316
2307.584, 69.07101
2309.512, 67.74545
2311.441, 69.08037
2313.369, 65.66187
2315.298, 66.41457
2317.226, 68.96689
2319.155, 67.75824
2321.083, 69.13562
2323.011, 69.52808
2324.940, 65.44455
2326.868, 69.14525
2328.797, 69.47955
2330.725, 66.35721
2332.654, 69.79123
2334.582, 67.14542
2336.511, 66.66975
2338.439, 67.82720
2340.368, 67.28220
2342.296, 69.42133
2344.225, 68.97465
2346.153, 68.29688
2348.082, 68.62740
2350.010, 66.10081
2351.938, 68.87466
2353.867, 68.02791
2355.795, 68.98086
2357.724, 70.34179
2359.652, 68.57912
2361.581, 70.12333
2363.509, 66.53936
2365.438, 67.24634
2367.366, 67.49122
2369.295, 70.47880
2371.223, 66.91982
2373.152, 70.42620
2375.080, 71.07826
2377.009, 71.44807
2378.937, 71.91634
2380.865, 72.17075
2382.794, 71.81326
2384.722, 71.07613
2386.651, 69.96731
2388.579, 68.89648
2390.508, 69.18156
2392.436, 70.42664
2394.365, 70.35595
2396.293, 69.44032
2398.222, 72.87147
2400.150, 72.61172
2402.079, 72.59729
2404.007, 76.09635
2405.936, 72.83008
2407.864, 76.73568
2409.792, 79.28474
2411.721, 79.23433
2413.649, 79.56238
2415.578, 80.97890
2417.506, 82.54471
2419.435, 84.31656
2421.363, 85.53716
2423.292, 85.11723
2425.220, 85.07089
2427.149, 86.70823
2429.077, 88.89478
2431.006, 90.36375
2432.934, 92.42105
2434.863, 97.13729
2436.791, 102.5061
2438.719, 106.2995
2440.648, 108.7786
2442.576, 110.1428
2444.505, 110.6869
2446.433, 111.2463
2448.362, 111.7001
2450.290, 111.2046
2452.219, 111.0507
2454.147, 110.6120
2456.076, 109.5593
2458.004, 109.1327
2459.933, 107.8529
2461.861, 106.5518
2463.790, 105.3364
2465.718, 103.9431
2467.646, 102.2044
2469.575, 100.5789
2471.503, 99.10474
2473.432, 97.76102
2475.360, 96.52162
2477.289, 95.53034
2479.217, 95.12965
2481.146, 94.31532
2483.074, 91.81149
2485.003, 90.16970
2486.931, 91.54890
2488.860, 92.73895
2490.788, 91.78376
2492.717, 90.21114
2494.645, 88.89027
2496.573, 87.63332
2498.502, 85.62630
2500.430, 84.28613
2502.359, 85.78349
2504.287, 88.05887
2506.216, 88.56751
2508.144, 87.94322
2510.073, 86.77465
2512.001, 85.56152
2513.930, 85.99247
2515.858, 84.85956
2517.787, 84.50496
2519.715, 84.27513
2521.644, 83.62825
2523.572, 84.34084
2525.500, 84.20187
2527.429, 83.19453
2529.357, 81.94327
